patient_id,trial,true_angle_deg,decoded_angle_deg,angle_error_deg,kl_divergence,mean_abs_channel_drift_deg,channel_0_feature,channel_1_feature,channel_2_feature,channel_3_feature,channel_4_feature,channel_5_feature,channel_6_feature,channel_7_feature
patient_01,0,270.0,281.6674077215502,11.667407721550205,,0.0,8.747418761838434,8.857635006655022,3.697088078846301,8.482160725991868,10.924044012066595,13.686461274047698,16.277754053206888,11.893532674777296
patient_01,1,45.0,42.796033273832066,2.2039667261679483,,0.0,12.171524207598443,12.846697742349562,12.27100916865068,10.780227705763625,7.575746085613832,7.880667467220645,5.913233626346018,9.517195214090757
patient_01,2,225.0,221.81107884567288,3.1889211543271188,,0.0,4.331897010260039,7.054633837422567,6.612173923025081,13.606206827680468,13.515360979247987,15.023899954842726,14.017617765303777,8.834244956774667
patient_01,3,180.0,172.46458394056128,7.535416059438717,,0.0,3.5489562951389395,7.255318568666611,10.492397022640548,14.901855696015028,15.550571834475877,13.70381507392242,9.83304937383666,4.149939878807966
patient_01,4,270.0,276.5937785397494,6.593778539749394,,0.0,6.9171867177891,6.837856326664455,3.2552965318153264,8.399496305059978,9.117482787102327,14.178127863269832,15.196753879885364,12.240217277685254
patient_01,5,0.0,350.9237834815063,9.076216518493766,,0.0,13.94840307315327,12.503039881998207,8.808343323316526,7.7390979019844846,5.094089139386618,9.12868137463645,10.662328871686721,12.760640222102163
patient_01,6,90.0,103.59523210106087,13.595232101060873,,0.0,7.738792121906526,12.13661160697876,15.380476576300572,14.753815974428363,12.41002627906849,7.453568998542455,4.016572428926012,5.291892932084588
patient_01,7,225.0,222.140604695333,2.8593953046670038,,0.0,4.8546896736017695,6.542225031571965,6.184831082794915,12.552806294508441,14.567665235348583,15.297398889141109,14.04542788566251,7.921722287667315
patient_01,8,180.0,167.0232524333225,12.976747566677489,,0.0,3.4128136728687726,8.15161213647752,11.494103046145668,15.32515590767299,14.48136613280044,13.321215653554466,9.974611243516886,4.844545120730838
patient_01,9,90.0,100.86902707874545,10.869027078745432,,0.0,9.107112022309359,12.614784350049307,15.213859094674413,15.65249226302757,11.871764287372617,8.895332338646261,4.101385830087808,5.856543420980534
patient_01,10,90.0,96.56523070898828,6.565230708988281,,0.0,8.596887376168938,13.033643920727787,15.052909836918973,15.404785490074316,11.39435409003126,7.630402676452107,3.892697915293496,6.17498419074479
patient_01,11,135.0,135.07571635706472,0.0757163570647208,,0.0,5.8777748159699135,8.706573963750483,13.684736006023092,17.659817117730817,14.665838941511032,9.539204777719625,6.365816472349713,3.667318194095364
patient_01,12,90.0,100.81872087641848,10.818720876418467,,0.0,8.7349132214551,12.658994494351445,14.597996990989644,15.610811005266482,11.64542725281898,8.129121222296495,3.9734170629454124,5.2084069580556545
